qstr_Next_Page|下 一 頁 
qstr_Game_Rules:^|游 戲 規 則 ： ^
qstr_Show_game_rules|顯 示 游 戲 規 則 
qstr_Continue...|繼 續 … … 
qstr_Candidate_#1:_{s1}|一 號 侯 選 者 ： {s1}
qstr_Candidate_#2:_{s1}|二 號 侯 選 者 ： {s1}
qstr_{s3}_of_{s4}_wishes_|{s4}的 {s3}希 望 能 夠 選 出 一 個 新 的 元 帥 ， 並 邀 請 了 他 的 封 臣 們 給 他 一 些 建 議 。 {s1}和 {s2}是 可 能 的 候 選 人 。 
qstr_Who_do_you_wish_to_s|你 想 要 支 持 誰 ？ 
qstr_{s1}|{s1}
qstr_{s1}_gives_his_suppo|{s2}得 到 了 {s1}的 支 持 。 
qstr_Number_of_Supporters|支 持 者 的 數 目 ： {reg0}
qstr_{s2}_has_heard_his_v|{s2}聽 從 了 他 的 封 臣 們 的 建 議 。 他 選 擇 了 {s1}來 做 {s3}的 元 帥 。 
qstr_Action|行 動 
qstr_Attack_Type|武 器 選 擇 
qstr_Stand_Ground|站 崗 
qstr_Charge|沖 鋒 
qstr_Follow_Me|隨 我 來 
qstr_Hold_This_Position|堅 守 此 地 
qstr_Spread_Out|散 開 
qstr_Stand_Closer|聚 攏 
qstr_Fall_Back|退 後 
qstr_Advance|前 進 
qstr_Dismount|下 馬 
qstr_Mount|上 馬 
qstr_Fire_At_Will|任 意 射 擊 
qstr_Use_Blunt_Weapons|使 用 鈍 擊 武 器 
qstr_Use_Any_Weapon|使 用 任 意 武 器 
qstr_Ready|准 備 
qstr_Wounded|受 傷 
qstr_Dead|陣 亡 
qstr_Remain_in_retirement|決 定 退 休 。 
qstr_Go_back_to_the_adven|繼 續 冒 險 。 
qstr_You_have_retired_at_|你 在 經 過 {reg5}天 的 冒 險 到 達 {reg4}級 的 時 候 決 定 退 休 了 。 
qstr_Effect_on_Score|得 分 影 響 
qstr_Settlements_owned_by|你 的 領 地 數 ： {reg0}
qstr_Friendly_Settlements|友 軍 領 地 數 ： {reg0}
qstr_Hostile_Settlements:|敵 軍 領 地 數 ： {reg0}
qstr_Friendly_Lords:_{reg|友 軍 領 主 ： {reg0}
qstr_Enemy_Lords:_{reg0}|敵 軍 領 主 ： {reg0}
qstr_Victories:_{reg0}|勝 利 ： {reg0}
qstr_Defeats:_{reg0}|失 敗 ： {reg0}
qstr_Quests_Completed:_{r|任 務 完 成 ： {reg0}
qstr_Companions_Found:_{r|同 伴 加 入 人 數 ： {reg0}
qstr_Companions_Lost/Depa|同 伴 失 散 人 數 ： {reg0}
qstr_Wealth:_{reg0}_denar|財 富 ： {reg0}泰 勒 
qstr_Inventory:_{reg0}_de|物 品 欄 中 的 財 富 ： {reg0}泰 勒 
qstr_Renown:_{reg0}|聲 望 ： {reg0}
qstr_Experience:_{reg0}|經 驗 ： {reg0}
qstr_Days_Passed:_{reg0}|天 數 ： {reg0}
qstr_Difficulty:_{reg0}%|難 度 ： {reg0}%
qstr_TOTAL_SCORE:_{reg0}|總 分 數 ： {reg0}
qstr_{s1}_of_{s3}_was_def|{s3}的 {s1}在 戰 場 上 被 擊 敗 了 ， 但 設 法 逃 離 了 。 
qstr_DEBUG:_{s1}_no_longe|除 去 故 障 ： {s1}不 再 領 導 一 支 隊 伍 。 
qstr_DEBUG:_{s1}_is_no_lo|除 去 故 障 ： {s1}不 再 是 一 名 俘 虜 。 
qstr_DEBUG:_{s1}_is_now_a|除 去 故 障 ： {s1}現 在 是 玩 家 的 俘 虜 。 
qstr_DEBUG:_{s1}_is_now_a_|除 去 故 障 ： {s1}現 在 是 {s2}的 俘 虜 。 
qstr_{s54}_is_a_claimant_|{s54}聲 稱 應 由 他 坐 上 {s56}的 王 座 。 
qstr_nowhere|無 
qstr_{s57}_and_{s58}|{s57}和 {s58}
qstr_{s57}_{s58}|{s57}， {s58}
qstr_{reg3?She:He}|{reg3?她 :他 }
qstr_^{s59}|^{s59}
qstr_{reg6?:{reg4?{s54}_i|{reg6?:{s54}是 {s56}的 {reg4?統 治 者 :{s55}的 一 名 臣 子 }。 ^}聲 望 ： {reg5}。 ^{reg3?她 :他 }{reg9?是 {s58}的 {reg3?女 :}主 人 :沒 有 封 地 }。 {s59}
qstr_The_town_of_{s50}|{s50}鎮 
qstr_The_village_of_{s50}|{s52}附 近 的 {s50}村 
qstr_{s51}_belongs_to_{s1|{s51}歸 {s2}的 {s1}所 有 。 ^
qstr_{s7}_and_{s8}|{s7}和 {s8}
qstr_{s2}It_has_no_villag|{s2}它 沒 有 下 屬 的 村 莊 。 ^
qstr_{s2}{reg0?Its_villag|{s2}它 {reg0?的 下 屬 的 村 莊 是 :的 下 屬 的 村 莊 是 }{s8}。 ^
qstr_{s2}Its_prosperity_i|{s2}它 的 繁 榮 度 為 ： {s50}
qstr_{s7}_{s8}|{s7}， {s8}
qstr_noone|無 
qstr_{s9}_and_{s10}|{s9}和 {s10}
qstr_{s9}_{s10}|{s9}， {s10}
qstr_{s11}_and_{s12}|{s11}和 {s12}
qstr_{s11}_{s12}|{s11}， {s12}
qstr_{s5}_is_ruled_by_{s6|{s5}被 {s6}統 治 著 。 ^它 占 據 著 {s8}。 ^它 的 臣 子 是 {s10}。 ^他 的 敵 人 是 {s12}。 
qstr_{s5}_has_been_defeat|{s5}被 擊 敗 了 ！ 
qstr_{s7}_opened_the_gate|{s7}打 開 大 門 
qstr_{s7}_closed_the_gate|{s7}關 閉 大 門 
qstr_+{reg1}_to_party_mor|部 隊 士 氣 增 加 {reg1}
qstr_Requires_{reg1}_inte|需 要 {reg1}點 智 慧 才 能 讀 
qstr_Reading_Progress:_{r|閱 讀 進 度 ： {reg1}%
qstr_wound_treament|療 傷 
qstr_trainer|教 練 
qstr_surgery|手 術 
qstr_+1_to_{s1}_while_in_|置 於 物 品 欄 時 加 一 點 {s1}技 能 
qstr_{s2}|{s2}
qstr_Base_damage_radius:_|碎 片 半 徑 ： {reg1}步 。 傷 害 半 徑 ： {reg2}步 。 
qstr_Move_here|移 動 到 這 裡 
qstr_View_notes|查 看 記 錄 
qstr_killed|陣 亡 
qstr_wounded|受 傷 
qstr_{s0}^TOTAL:_{reg3}__|{s0}^總 計 ： {reg3}({s2})
qstr_None|無 
qstr_^None|^無 
qstr_nothing|無 
qstr_{reg0}_village{reg1?|{reg0}村 莊 {reg1?:}
qstr_{reg0}_castle{reg1?s|{reg0}堡 壘 {reg1?:}
qstr_{reg0}_castle{reg1?s:|{reg0}堡 壘 {reg1?:}以 及 {s0}
qstr_{reg0}_town{reg1?s:}|{reg0}城 鎮 {reg1?:}
qstr_{reg0}_town{reg1?s:}_|{reg0}城 鎮 {reg1?:}以 及 {s0}
qstr_{reg0}_town{reg1?s:}_{|{reg0}城 鎮 {reg1?:}， {s0}
qstr_Your_opponents_are_r|你 的 對 手 已 經 准 備 好 了 。 
qstr_Try_to_destroy_as_ma|你 需 要 在 兩 分 半 鍾 的 時 間 內 盡 可 能 多 的 摧 毀 目 標 。 
qstr_Stay_behind_the_line|站 在 線 後 射 擊 目 標 。 盡 量 不 要 浪 費 任 何 一 發 彈 藥 。 
qstr_Battle_Advantage_=_{|戰 場 優 勢 為 {reg0}。 
qstr_{s9}_wants_you_to_re|{s9}希 望 你 在 接 到 進 一 步 的 指 令 前 跟 隨 他 的 部 隊 行 動 。 
qstr_OIM_add__{s3}_prosil|{s3}給 你 的 第 一 個 命 令 就 是 奪 取 一 座 城 市 。 
qstr__Being_Raided_|（ 被 掠 奪 中 ） 
qstr__Looted_|（ 已 被 洗 劫 ） 
qstr__Under_Siege_|（ 陷 入 包 圍 ） 
qstr_The_village_of_{s1}_|{s1}村 遭 受 了 {s2}的 掠 奪 。 
qstr_{s3}_is_no_longer_un|{s3}不 再 陷 入 包 圍 了 。 
qstr_Enemies_spotted_near|在 {s1}附 近 發 現 了 敵 人 。 
qstr_{s1}_has_been_besieg|{s1}受 到 {s3}的 {s2}包 圍 。 
qstr_{s1}_is_chosen_as_th|{s1}被 選 為 了 {s2}的 元 帥 。 
qstr_{s1}_is_the_new_mars|{s1}是 {s2}的 新 元 帥 。 
qstr_{s1}_decided_to_do_n|{s1}決 定 什 麼 都 不 做 。 
qstr_{s1}_decided_to_gath|{s1}決 定 召 集 軍 隊 。 
qstr_{s1}_decided_to_besi|{s1}決 定 圍 攻 {s2}。 
qstr_{s1}_decided_to_raid|{s1}決 定 突 襲 {s2}。 
qstr_{s1}_decided_to_atta|{s1}決 定 攻 擊 {s2}。 
qstr_{s1}_decided_to_attac|{s1}決 定 攻 擊 {s2}附 近 的 敵 人 。 
qstr_You_gained_{reg12}_r|你 獲 得 了 {reg12}點 聲 望 。 
qstr_You_lose_{reg12}_ren|你 失 去 了 {reg12}點 聲 望 。 
qstr_Your_relation_with_{|你 與 {s1}的 關 系 提 升 了 。 
qstr_Your_relation_with_{s|你 與 {s1}的 關 系 惡 化 了 。 
qstr_You_gain_honour.|你 獲 得 榮 譽 。 
qstr_You_lose_honour.|你 失 去 榮 譽 。 
qstr_{s1}_has_declared_wa|{s1}已 經 向 {s2}宣 戰 。 
qstr_{s1}_and_{s2}_have_m|{s1}與 {s2}已 經 達 成 了 停 戰 協 議 。 
qstr_{s2}_{reg3?was:is_cu|{s2}{reg3?曾 :正 }在 {s3}。 
qstr_{s2}_{reg3?was:is}_t|{s2}{reg3?已 經 :正 在 }趕 去 {s3}， 而 {reg4?她 :他 }{reg3?之 前 :也 許 }在 {s4}{reg3?:附 近 }。 
qstr_{s2}_{reg3?was:is}_i|{s2}{reg3?:正 }在 野 外 某 地 ， 而 {reg4?她 :他 }{reg3?之 前 :也 許 }在 {s3}{reg3?:附 近 }。 
qstr_{s2}_{reg3?was:is}_b|{s2}{reg3?曾 :正 }被 囚 禁 在 {s3}。 
qstr_{s2}_{reg3?was:has_b|{s2}{reg3?已 :已 經 }被 {reg4?她 的 :他 的 }敵 人 俘 虜 。 
qstr_{reg3?{s2}_s_locatio|{reg3?{s2}的 位 置 不 明 確 :我 不 知 道 {s2}在 哪 裡 }。 
qstr_{s6}_has_joined_your|{s6}加 入 了 你 的 隊 伍 。 
qstr_You_now_owe_{reg2}_d|你 欠 {s1}{reg2}泰 勒 。 
qstr_Renown_value_for_thi|這 場 戰 斗 的 聲 望 評 估 為 {reg8}點 。 
qstr_You_have_run_into_a_|你 陷 入 了 圈 套 之 中 ！ 
qstr_You_are_attacked_by_|你 被 一 群 強 盜 打 劫 了 ！ 
qstr_Holding|堅 守 中 
qstr_Following|隨 行 中 
qstr_Charging|沖 鋒 中 
qstr_Advancing|前 進 中 
qstr_Falling_Back|後 退 中 
qstr_Standing_Closer|聚 攏 中 
qstr_Spreading_Out|散 開 中 
qstr_Standing|站 立 中 
qstr_N/A|無 效 
qstr_Any_Weapon|任 意 武 器 
qstr_Blunt_Weapons|鈍 擊 武 器 
qstr_{s1}_Rebels|{s1}叛 軍 
qstr_Given_by:_{s62}|給 予 人 ： {s62}
qstr_Given_on:_{s60}|開 始 於 ： {s60}
qstr_You_have_{reg0}_days|你 還 有 {reg0}天 來 完 成 這 個 任 務 。 
qstr_This_quest_has_been_|任 務 完 成 。 找 {s59}談 話 來 結 束 這 個 任 務 。 
qstr_This_quest_has_been_s|任 務 成 功 完 成 。 找 {s59}談 話 來 索 取 你 的 報 酬 。 
qstr_This_quest_has_faile|任 務 失 敗 。 找 {s59}談 話 來 解 釋 情 況 。 
qstr_At_the_time_quest_wa|接 受 任 務 時 ： ^{s1}
qstr_{s1}_is_infested_by_|{s1}正 被 強 盜 攻 擊 。 
qstr_{s5}_has_a_strength_|{s5}的 軍 隊 共 有 {reg1}人 。 
qstr_The_last_time_you_sa|上 一 次 你 見 到 {reg1?她 :他 }， {s1}
qstr_The_last_time_you_he|上 一 次 你 聽 說 到 {reg1?她 :他 }， {s1}
qstr_{s50}|{s50}
qstr_Current_garrison_con|駐 軍 有 {reg5}人 。 ^儲 存 的 食 物 可 供 {reg6}天 。 
qstr_Very_Poor|非 常 貧 窮 
qstr_Poor|貧 窮 
qstr_Average|一 般 
qstr_Rich|富 有 
qstr_Very_Rich|非 常 富 有 
qstr_Manor|莊 園 
qstr_A_manor_lets_you_res|有 了 一 個 莊 園 ， 你 就 可 以 在 村 子 中 休 息 ， 而 且 在 此 期 間 你 只 用 付 相 當 於 平 時 一 半 的 工 資 給 你 的 部 隊 。 
qstr_Mill|磨 坊 
qstr_A_mill_increases_vil|有 了 一 個 磨 坊 ， 就 可 以 使 村 子 的 繁 榮 度 提 升 5% 。 
qstr_Watch_Tower|了 望 塔 
qstr_A_watch_tower_lets_t|有 了 一 個 了 望 塔 ， 就 可 以 使 村 民 更 早 的 發 出 警 報 ， 並 延 長 敵 人 掠 奪 這 村 子 的 時 間 25% 。 
qstr_School|學 校 
qstr_A_shool_increases_th|有 了 一 個 學 校 ， 就 可 以 使 村 民 對 你 的 忠 誠 度 每 月 提 升 1點 。 
qstr_Messenger_Post|驛 站 
qstr_A_messenger_post_let|有 了 一 個 驛 站 ， 就 可 以 使 村 民 在 村 子 旁 發 現 敵 軍 時 向 你 匯 報 ， 不 論 你 離 村 子 有 多 遠 。 
qstr_Prison_Tower|監 獄 
qstr_A_prison_tower_reduc|有 了 一 個 監 獄 ， 就 可 以 使 被 俘 獲 的 領 主 成 功 逃 跑 的 幾 率 降 低 。 
qstr_Prosperity_of_{s2}_h|{s2}的 繁 榮 度 從 {s3}變 到 {s4}。 
qstr_{s4}_looks_upset.|{s4}看 起 來 很 失 落 。 
qstr_OiM_You_ve_lost_your|你 失 去 了 你 的 馬 。 
qstr_oim_potop_negative_e|耶 穌 紀 元 1655年 ， 波 蘭 國 王 解 散 了 下 議 院 — — 也 就 是 國 會 — — 並 按 照 莫 斯 科 的 君 主 的 方 式 ， 自 稱 為 沙 皇 。 但 是 叛 逆 的 貴 族 們 不 能 容 忍 此 事 ， 很 快 ， 在 大 波 蘭 與 立 陶 宛 ， 在 盧 森 尼 亞 與 烏 克 蘭 ， 到 處 都 有 人 揭 竿 而 起 。 為 了 鎮 壓 不 斷 上 升 的 造 反 勢 力 ， 國 王 雇 用 了 日 耳 曼 的 國 土 傭 僕 來 當 傭 兵 。 ^不 久 後 ， 整 個 波 蘭 - 立 陶 宛 聯 邦 就 像 干 柴 一 樣 被 戰 火 焚 毀 了 。 而 那 個 自 稱 「 沙 皇 」 的 揚 · 卡 西 米 爾 在 失 去 了 國 民 與 貴 族 的 忠 誠 之 後 ， 退 位 並 逃 走 了 。 陪 著 他 的 是 他 最 新 的 指 揮 官 ， 一 位 名 叫 {playername}的 出 身 低 賤 的 軍 閥 。 在 馬 佐 夫 捨 與 普 魯 士 的 邊 界 ， 他 們 被 一 大 群 強 盜 伏 擊 了 。 在 那 段 歲 月 中 ， 一 群 強 盜 只 是 一 個 普 通 的 危 險 而 已 ， 但 是 國 王 和 他 的 同 伴 們 就 這 樣 被 殺 死 了 ， 並 且 至 今 沒 人 發 現 他 們 的 骸 骨 被 藏 在 哪 裡 。 ^澤 農 · 彼 得 列 茨 基 ， 《 簡 明 波 蘭 共 和 國 史 》 （ 1855 ） 。 
qstr_your_party|你 的 部 隊 
qstr_{reg0?One_of_your_pr|{reg0?你 的 一 個 俘 虜 :俘 虜 }{s3}的 {s1}從 監 獄 逃 跑 了 ！ 
qstr_You_brought_{reg3}_h|你 帶 了 {reg3}頭 牛 去 {s1}。 
qstr_I_heard_that_there_w|我 聽 說 在 {s62}將 會 舉 辦 一 場 競 技 大 會 。 
qstr_I_heard_that_one_can|我 聽 說 {s62}在 {s63}賣 得 很 便 宜 。 
qstr_I_heard_that_they_pa|我 聽 說 {s62}在 {s63}很 是 緊 俏 。 
qstr_Log_entry_{reg3}:_ty|Logentry{reg3}:type{reg4}
qstr_Center:_{s4}|中 心 ： {s4}
qstr_Troop:_{s4}|部 隊 ： {s4}
qstr_Lord:_{s4}|領 主 ： {s4}
qstr_Ally_party_is_presen|Allypartyispresent 
qstr_{s4}_is_present_at_e|{s4}ispresentatevent 
qstr_Event_#{reg5}_type_{|事 件 #{reg5}， 類 型 {reg6}， 時 間 {reg8}： 玩 家 的 國 家 對 國 家 目 標 的 關 系 ={reg7}
qstr_Event_#{reg5}_type_{r|事 件 #{reg5}， 類 型 {reg6}， 時 間 {reg8}： 玩 家 的 國 家 對 中 心 目 標 國 家 的 關 系 ={reg7}
qstr_Event_#{reg5}_type_{re|事 件 #{reg5}， 類 型 {reg6}， 時 間 {reg8}： 玩 家 的 國 家 對 國 家 目 標 的 關 系 ={reg7}
qstr_Event_#{reg5}_type_{reg|事 件 #{reg5}， 類 型 {reg6}， 時 間 {reg8}。 無 相 關 國 家 關 系 
qstr_Event_#{reg5}_type_{reg6|事 件 #{reg5}， 類 型 {reg6}， 時 間 {reg8}。 獨 立 的 玩 家 
qstr_Elapsed_hours:_{reg7|經 過 小 時 數 ： {reg7}
qstr_Reputation_type:_{s1|聲 譽 類 型 ： {s15}
qstr_Entries_up_to_#{reg5|進 入 至 #{reg5}跳 過 
qstr__{reg6}_dinarov_|（ {reg6}泰 勒 ） 
qstr__{s20}_{s22}_{s5}|{s20}， {s22}{s5}
qstr_{s0}___{reg1}|{s0}-{reg1}
qstr__^not_drunk|^^[沒 醉 ]
qstr__^slightly_drinken|^^【 微 醉 】 
qstr__^quite_drunk|^^【 醉 】 
qstr__^cant_say_few_words|^^【 酩 酊 大 醉 】 
qstr_V_otryade_nachalas_e|你 的 部 下 們 遇 上 了 {s0}。 要 治 好 他 們 ， 你 的 士 兵 們 就 得 在 酒 館 休 息 並 吃 些 好 食 物 。 給 他 們 一 名 醫 生 ， 效 果 也 會 很 好 。 
qstr_{s0}|{s0}
qstr_{s50}_i_{s0}|{s50}與 {s0}
qstr_v_otryade_nachalas_e|你 的 部 下 們 遇 上 了 {s0}。 要 治 好 他 們 ， 你 的 士 兵 們 就 得 在 酒 館 休 息 並 吃 些 好 食 物 。 給 他 們 一 名 醫 生 ， 效 果 也 會 很 好 。 
qstr_v_otryade_nachalis_e|你 的 部 下 們 遇 上 了 {s50}
qstr_{s2}_{reg3?was:is}_in|{s2}{reg3?曾 :}在 野 外 ， 但 是 {reg4?她 :他 }{reg3?曾 :此 刻 應 該 }在 {s3}附 近 。 
qstr_Player:_v_gorode_{s3|玩 家 ： {s31}在 {s30}會 迅 速 被 制 成 。 
qstr_{s0}_{s2}|{s0}， {s2}
qstr_V_gorode_{s30}_zaver|{s31}曾 在 {s30}。 
qstr_Glava|鎮 長 
qstr_tax:_{reg3}|稅 金 ： {reg3}
qstr__{s2}_stud:_{reg0}|{s2}畜 群 ： {reg0}
qstr_depozita|存 款 
qstr_kredita|貸 款 
qstr_Zdes_vi_mozhete_zaka|在 這 裡 你 可 以 訂 購 優 質 的 武 器 。 
qstr_Zdes_vi_mozhete_zakaz|在 這 裡 你 可 以 訂 購 優 質 的 防 具 。 
qstr_Vash_zakaz_esche_ne_|你 訂 的 貨 還 沒 准 備 好 ， 
qstr_Vi_esche_ne_zabrali_|你 還 沒 有 收 你 上 一 次 的 訂 貨 ！ 
qstr_Za_mir_nuzhno_budet_|如 果 你 給 我 們 {s5}的 話 ， 你 就 可 以 准 備 講 和 了 。 
qstr_Za_mir_nuzhno_budet_o|如 果 你 給 我 {s5}和 {s2}的 話 ， 我 就 可 以 准 備 講 和 了 。 
qstr_Uchitivaya_silu_vash|我 們 尊 重 你 的 武 力 。 我 們 准 備 講 和 。 
qstr_Za_mir_vam_nuzhno_bu|只 要 貢 獻 {reg1}泰 勒 ， 我 們 就 准 備 講 和 。 
qstr_^{s20}_{s21}|^{s20}{s21}
qstr_gorode|城 市 
qstr_zamke|堡 壘 
qstr_sele|村 莊 
qstr_V_{s22}_hodyat_sluhi|在 {s22}裡 有 流 言 ： {s21}
qstr_V_etom_{s22}_nichego|{s22}沒 發 生 什 麼 有 意 思 的 事 。 
qstr_{s3}_{reg1}_|{s3}({reg1})
qstr_{s4}_{s3}_{reg1}_|{s4}， {s3}({reg1})
qstr_Party_has_nothing_to|你 的 隊 伍 在 挨 餓 ！ 
qstr_{s31}|{s31}
qstr__{s32}|{s32}
qstr__|
qstr_Cannot_leave_now.|你 現 在 不 能 離 開 。 
qstr_You_must_stay_behind|你 必 須 站 在 線 後 ！ 此 次 攻 擊 無 效 。 
qstr_You_run_away_from_th|你 逃 離 了 戰 場 。 
qstr_You_came_into_the_wo|你 作 為 一 個 沒 落 貴 族 家 庭 中 的 {reg3?女 兒 :兒 子 }降 生 在 這 個 世 界 上 ， 家 中 只 剩 下 了 一 幢 房 子 還 矗 立 著 ， 記 錄 著 已 經 散 去 的 往 日 榮 光 。 不 過 ， 即 使 生 活 困 苦 ， 家 裡 依 然 給 予 了 你 很 好 的 教 育 ， 並 從 孩 童 時 期 就 對 你 進 行 嚴 格 的 行 為 舉 止 方 面 的 訓 練 。 
