qstr_Next_Page|Další stránka
qstr_Game_Rules:^|Pravidla hry:^
qstr_Show_game_rules|Zobrazit pravidla hry.
qstr_Continue...|Pokračovat...
qstr_Candidate_#1:_{s1}|Kandidát č.1: {s1}
qstr_Candidate_#2:_{s1}|Kandidát č.2: {s1}
qstr_{s3}_of_{s4}_wishes_|{s3} ze země {s4} chce jmenovat nového maršála a sezval proto své vazaly na radu. Hlavními kandidáty jsou {s1} a {s2}.
qstr_Who_do_you_wish_to_s|Koho chceš podpořit?
qstr_{s1}|{s1}
qstr_{s1}_gives_his_suppo|{s1} podporuje kandidáta jménem {s2}.
qstr_Number_of_Supporters|Počet stoupenců: {reg0}
qstr_{s2}_has_heard_his_v|{s2} dal na radu svých vazalů. Novým maršálem bude {s1}.
qstr_Action|Akce
qstr_Attack_Type|Typ útoku
qstr_Stand_Ground|Stát na místě
qstr_Charge|Zaútočit
qstr_Follow_Me|Jít za mnou
qstr_Hold_This_Position|Držet pozici
qstr_Spread_Out|Rozptýlit se
qstr_Stand_Closer|Přijít blíž
qstr_Fall_Back|Ustoupit
qstr_Advance|Postupovat vpřed
qstr_Dismount|Sesednout z koně
qstr_Mount|Nasednout
qstr_Fire_At_Will|Zahájit palbu
qstr_Use_Blunt_Weapons|Použít drtivou zbraň
qstr_Use_Any_Weapon|Použít jakoukoli zbraň
qstr_Ready|Připraveno k boji
qstr_Wounded|Zraněno
qstr_Dead|Zabito
qstr_Remain_in_retirement|Zůstat na odpočinku
qstr_Go_back_to_the_adven|Vrátit se k dobrodružnému životu
qstr_You_have_retired_at_|Odcházíš na odpočinek na {reg4}. úrovni. Máš za sebou {reg5} dní dobrodružného života.
qstr_Effect_on_Score|Vliv na skóre
qstr_Settlements_owned_by|Podařilo se ti dobýt {reg0} hradů a obcí
qstr_Friendly_Settlements|Počet přátelských obcí: {reg0}
qstr_Hostile_Settlements:|Počet nepřátelských obcí: {reg0}
qstr_Friendly_Lords:_{reg|Počet přátelských vládců: {reg0}
qstr_Enemy_Lords:_{reg0}|Počet nepřátelských vládců: {reg0}
qstr_Victories:_{reg0}|Počet vítězství: {reg0}
qstr_Defeats:_{reg0}|Počet porážek: {reg0}
qstr_Quests_Completed:_{r|Počet splněných úkolů: {reg0}
qstr_Companions_Found:_{r|Počet členů družiny: {reg0}
qstr_Companions_Lost/Depa|Počet ztracených členů družiny: {reg0}
qstr_Wealth:_{reg0}_denar|Bohatství: {reg0} tolarů
qstr_Inventory:_{reg0}_de|Inventář: {reg0} tolarů
qstr_Renown:_{reg0}|Proslulost: {reg0}
qstr_Experience:_{reg0}|Zkušenosti: {reg0}
qstr_Days_Passed:_{reg0}|Čas: {reg0} dní
qstr_Difficulty:_{reg0}%|Obtížnost: {reg0} %
qstr_TOTAL_SCORE:_{reg0}|CELKOVÉ SKÓRE: {reg0}
qstr_{s1}_of_{s3}_was_def|{s1} z panství {s3} byl v boji poražen, ale podařilo se mu utéct.
qstr_DEBUG:_{s1}_no_longe|ODLADĚNÍ: {s1} už není vůdcem družiny.
qstr_DEBUG:_{s1}_is_no_lo|ODLADĚNÍ: {s1} už není v zajetí.
qstr_DEBUG:_{s1}_is_now_a|ODLADĚNÍ: {s1} upadl do zajetí hráče.
qstr_DEBUG:_{s1}_is_now_a_|ODLADĚNÍ: {s1} upadl do zajetí hráče jménem {s2}.
qstr_{s54}_is_a_claimant_|{s54} je uchazečem o trůn panství {s56}.
qstr_nowhere|nikde
qstr_{s57}_and_{s58}|{s57} a {s58}
qstr_{s57}_{s58}|{s57}, {s58}
qstr_{reg3?She:He}|{reg3?Ona:On}
qstr_^{s59}|^{s59}
qstr_{reg6?:{reg4?{s54}_i|{reg6?:{reg4?{s54} je vládcem panství {s56}.^:{s54} je vazalem panství {s56}, jemuž vládne {s55}.^}}Proslulost: {reg5}.^{reg9?{reg3?Je:Je} {reg3?paní:pánem} v: {s58}.:Nemá žádné vlastní léno.}{s59}
qstr_The_town_of_{s50}|Město {s50}
qstr_The_village_of_{s50}|Vesnice {s50} poblíž města jménem {s52}
qstr_{s51}_belongs_to_{s1|{s51} je pod vládou osoby jménem {s1} z frakce {s2}.^
qstr_{s7}_and_{s8}|{s7} a {s8}
qstr_{s2}It_has_no_villag|{s2}Nepatří k němu žádná vesnice.^
qstr_{s2}{reg0?Its_villag|{s2}{reg0?Blízké:Blízká} vesnice: {s8}.^
qstr_{s2}Its_prosperity_i|{s2}Úroveň blahobytu: {s50}.
qstr_{s7}_{s8}|{s7}, {s8}
qstr_noone|není
qstr_{s9}_and_{s10}|{s9} a {s10}
qstr_{s9}_{s10}|{s9}, {s10}
qstr_{s11}_and_{s12}|{s11} a {s12}
qstr_{s11}_{s12}|{s11}, {s12}
qstr_{s5}_is_ruled_by_{s6|Vládce frakce {s5} se jmenuje {s6}.^Města a vesnice náležející k této frakci: {s8}.^Poddaní: {s10}.^Nepřátelé frakce {s5}: {s12}.
qstr_{s5}_has_been_defeat|{s5} je poražen!
qstr_{s7}_opened_the_gate|{s7} otevírá bránu
qstr_{s7}_closed_the_gate|{s7} zavírá bránu
qstr_+{reg1}_to_party_mor|+{reg1} k morálce družiny
qstr_Requires_{reg1}_inte|Na přečtení této knihy potřebuješ {reg1} bodů inteligence.
qstr_Reading_Progress:_{r|Přečteno: {reg1}%
qstr_wound_treament|Ošetřování ran
qstr_trainer|Výcvik
qstr_surgery|Chirurgie
qstr_+1_to_{s1}_while_in_|Přidává 1 bod ke schopnosti {s1}, pokud máš předmět u sebe
qstr_{s2}|{s2}
qstr_Base_damage_radius:_|Dosah střepin v krocích: {reg1}. Poloměr zasažené plochy v krocích: {reg2}. 
qstr_Move_here|Přijít sem
qstr_View_notes|Přečíst si deník
qstr_killed|zabito
qstr_wounded|zraněno
qstr_{s0}^TOTAL:_{reg3}__|{s0}^CELKEM: {reg3} ({s2})
qstr_None|Žádné
qstr_^None|^Žádné
qstr_nothing|nic
qstr_{reg0}_village{reg1?|{reg0} vesnic
qstr_{reg0}_castle{reg1?s|{reg0} hradů
qstr_{reg0}_castle{reg1?s:|{reg0} hradů a {s0}
qstr_{reg0}_town{reg1?s:}|{reg0} měst
qstr_{reg0}_town{reg1?s:}_|{reg0} měst a {s0}
qstr_{reg0}_town{reg1?s:}_{|{reg0} měst, {s0}
qstr_Your_opponents_are_r|Tví soupeři se chystají k boji.
qstr_Try_to_destroy_as_ma|Znič co možná nejvíce cílů. Na zabezpečení cesty máš dvě a půl minuty.
qstr_Stay_behind_the_line|Postav se na startovní čáru a střílej na cíl. Snaž se neminout.
qstr_Battle_Advantage_=_{|Poměr sil: {reg0}.
qstr_{s9}_wants_you_to_re|{s9} chce, abys následoval jeho armádu, dokud nedostaneš další rozkazy.
qstr_OIM_add__{s3}_prosil|{s3} má pro tebe první úkol: dobýt město.
qstr__Being_Raided_|(Probíhá zde plenění)
qstr__Looted_|Vypleněno
qstr__Under_Siege_|V obležení
qstr_The_village_of_{s1}_|{s2} plení vesnici {s1}.
qstr_{s3}_is_no_longer_un|Obec {s3} už není obléhána.
qstr_Enemies_spotted_near|Poblíž obce {s1} byl spatřen nepřítel.
qstr_{s1}_has_been_besieg|{s2} z frakce {s3} obléhá sídlo {s1}.
qstr_{s1}_is_chosen_as_th|{s1} byl zvolen maršálem v zemi {s2}.
qstr_{s1}_is_the_new_mars|{s1} se stal maršálem v zemi {s2}.
qstr_{s1}_decided_to_do_n|{s1} má v úmyslu nijak nezasahovat.
qstr_{s1}_decided_to_gath|{s1} má v úmyslu sebrat armádu.
qstr_{s1}_decided_to_besi|{s1} má v úmyslu oblehnout obec {s2}.
qstr_{s1}_decided_to_raid|{s1} plánuje přepadení, jehož cílem je {s2}.
qstr_{s1}_decided_to_atta|{s1} plánuje přepadení, jehož cílem je {s2}.
qstr_{s1}_decided_to_attac|{s1} má v úmyslu napadnout nepřítele, který byl spatřen poblíž obce {s2}.
qstr_You_gained_{reg12}_r|Tvá proslulost se zvýšila o {reg12}.
qstr_You_lose_{reg12}_ren|Tvá proslulost se snížila o {reg12}.
qstr_Your_relation_with_{|Vztahy, které s tebou má {s1}, se zlepšily.
qstr_Your_relation_with_{s|Vztahy, které s tebou má {s1}, se zhoršily.
qstr_You_gain_honour.|Lidé tě víc uznávají.
qstr_You_lose_honour.|Lidé tě méně uznávají.
qstr_{s1}_has_declared_wa|{s1} a {s2} jsou teď ve válce.
qstr_{s1}_and_{s2}_have_m|{s1} a {s2} spolu uzavírají mír.
qstr_{s2}_{reg3?was:is_cu|{s2} {reg3?{byl/byla}:je teď} v obci {s3}.
qstr_{s2}_{reg3?was:is}_t|{s2} {reg3?je:je} na cestě, jejímž cílem byl {s3}. Teď by {reg4?měla:měl} být k zastižení někde u obce {s4}{reg3?:}.
qstr_{s2}_{reg3?was:is}_i|{s2} {reg3?byl{/a}:je} na cestách. Teď by {reg4?měla:měl} být k zastižení někde u obce {s3}{reg3?:}.
qstr_{s2}_{reg3?was:is}_b|{s2} {reg3?byl{/a}:je} v zajetí v obci jménem {s3}.
qstr_{s2}_{reg3?was:has_b|{s2} {reg3?byl{/a}:je} v zajetí.
qstr_{reg3?{s2}_s_locatio|{reg3? místo pobytu {s2} nebylo známo:Nevím, kde {s2} teď je}.
qstr_{s6}_has_joined_your|{s6} se přidává k družině.
qstr_You_now_owe_{reg2}_d|Dlužíš {reg2} tolarů věřiteli jménem {s1}.
qstr_Renown_value_for_thi|Po tomto vítězství se tvůj věhlas zvýší o {reg8}.
qstr_You_have_run_into_a_|Chytili tě do léčky!
qstr_You_are_attacked_by_|Napadli tě zbojníci!
qstr_Holding|Držení pozice
qstr_Following|Sledování
qstr_Charging|Napadení
qstr_Advancing|Postup kupředu
qstr_Falling_Back|Ústup
qstr_Standing_Closer|Přeskupení
qstr_Spreading_Out|Rozptýlení
qstr_Standing|Blokování
qstr_N/A|Není k dispozici
qstr_Any_Weapon|Jakákoliv zbraň
qstr_Blunt_Weapons|Drtivá zbraň
qstr_{s1}_Rebels|{s1} (povstalci)
qstr_Given_by:_{s62}|Zadáno kým: {s62}
qstr_Given_on:_{s60}|Zadáno dne: {s60}
qstr_You_have_{reg0}_days|Čas zbývající na splnění úkolu: {reg0} dní.
qstr_This_quest_has_been_|Úkol je splněn. {s59} očekává, že přijdeš podat hlášení.
qstr_This_quest_has_been_s|Úkol je úspěšně splněn. {s59} tě očekává a chce ti vyplatit odměnu.
qstr_This_quest_has_faile|Úkol se ti nepodařilo splnit. {s59} očekává, že to přijdeš vysvětlit.
qstr_At_the_time_quest_wa|V den, kdy ti zadali úkol, {s1}
qstr_{s1}_is_infested_by_|Na vesnici {s1} zaútočili zbojníci.
qstr_{s5}_has_a_strength_|{s5} má armádu v počtu {reg1} lidí.
qstr_The_last_time_you_sa|Když {reg1?ji:ho} viděli naposledy, {s1}
qstr_The_last_time_you_he|Když jsi o {reg1?ní:něm} naposledy slyšel, {s1}
qstr_{s50}|{s50}
qstr_Current_garrison_con|Posádka čítá {reg5} lidí.^Zásoby jídla mají tak na {reg6} dní.
qstr_Very_Poor|nejnižší
qstr_Poor|nižší
qstr_Average|střední
qstr_Rich|vyšší
qstr_Very_Rich|nejvyšší
qstr_Manor|Obydlí
qstr_A_manor_lets_you_res|Když máš ve vsi obydlí, můžeš si v ní odpočinout. Při odpočinku se lidem z družiny vyplácí jenom poloviční žold 
qstr_Mill|Mlýn
qstr_A_mill_increases_vil|Mlýn zvyšuje blahobyt vesnice o 5%.
qstr_Watch_Tower|Strážní věž
qstr_A_watch_tower_lets_t|Strážní věž umožňuje obyvatelům vesnice dřív zpozorovat nebezpečí. Doba, za kterou nepřítel vyplení vesnici, se zvyšuje o 25%.
qstr_School|Škola
qstr_A_shool_increases_th|Díky škole se oddanost rolníků, kteří zde žijí, zvyšuje o jeden bod měsíčně.
qstr_Messenger_Post|Poštovní stanice
qstr_A_messenger_post_let|Poštovní stanice umožňuje obyvatelstvu, aby ti poslalo zprávu o napadení nepřítelem, a to i když jsi právě někde daleko.
qstr_Prison_Tower|Šatlava
qstr_A_prison_tower_reduc|Když zavřeš zajatce do šatlavy, mají menší šanci na útěk.
qstr_Prosperity_of_{s2}_h|Úroveň blahobytu ve vsi {s2} se změnila z {s3} na {s4}.
qstr_{s4}_looks_upset.|{s4} vypadá nespokojeně.
qstr_OiM_You_ve_lost_your|Přišel jsi o koně.
qstr_oim_potop_negative_e|Léta Páně 1656 rozpustil polský král polský parlament, takzvaný sejm, a prohlásil se za absolutního panovníka po vzoru moskevského cara. I vzbouřila se proti tomu šlechta a vypukla povstání v zemích velkopolských, litevských, rusínských a ukrajinských, která se král pokusil potlačit pomocí námezdných německých landsknechtů. ^Brzy téměř celá polsko-litevská republika shořela válečným požárem jako otep suché slámy. Samotný král Jan Kazimír, který zůstal bez podpory dvořanů i lidu, se zřekl trůnu a uprchl se svým posledním vojenským velitelem - neschopným maršálem jménem {playername}. Na hranicích Mazovska s Pruskem je přepadla velká tlupa zbojníků, kterých bylo tehdy v zemi jako máku. Král a celý jeho doprovod byli pobiti, a kde jsou pochovány jejich kosti, to nikdo neví.  ^Zenon Petrecký, "Stručné dějiny Rzeczpospolity", z roku 1855
qstr_your_party|tvá družina
qstr_{reg0?One_of_your_pr|{reg0?Jeden z tvých zajatců, :}{s1} z obce {s3}{reg0?,:} utekl!
qstr_You_brought_{reg3}_h|{s1}: podařilo se ti přivést {reg3} kusů dobytka.
qstr_I_heard_that_there_w|Říká se, že se ve městě {s62} bude brzy konat turnaj.
qstr_I_heard_that_one_can|Povídá se, že ve městě {s63} se {s62} prodává tuze lacino.
qstr_I_heard_that_they_pa|Povídá se, že ve městě {s63} je {s62} velmi drahou záležitostí.
qstr_Log_entry_{reg3}:_ty|Záznam {reg3}: typ {reg4}
qstr_Center:_{s4}|Centrum: {s4}
qstr_Troop:_{s4}|Vojsko: {s4}
qstr_Lord:_{s4}|Vládce: {s4}
qstr_Ally_party_is_presen|Je zde přítomno spojenecké vojsko
qstr_{s4}_is_present_at_e|{s4} se účastní akce
qstr_Event_#{reg5}_type_{|Událost č. {reg5}, typ {reg6}, čas {reg8}: vztah rodné země hráče k vojsku = {reg7}
qstr_Event_#{reg5}_type_{r|Událost č. {reg5}, typ {reg6}, čas {reg8}: vztah državy hráče ke středové frakci = {reg7}
qstr_Event_#{reg5}_type_{re|Událost č. {reg5}, typ {reg6}, čas {reg8}: vztah državy hráče ke frakci = {reg7}
qstr_Event_#{reg5}_type_{reg|Událost č. {reg5}, typ {reg6}, čas {reg8}. Vztahy ke království: žádné.
qstr_Event_#{reg5}_type_{reg6|Událost č. {reg5}, typ {reg6}, čas {reg8}. Hráč se akce neúčastní.
qstr_Elapsed_hours:_{reg7|Uplynulo hodin: {reg7}
qstr_Reputation_type:_{s1|Druh proslulosti: {s15}
qstr_Entries_up_to_#{reg5|Promeškal jsi přihlášení do č. {reg5}
qstr__{reg6}_dinarov_| ({reg6} tolarů)
qstr__{s20}_{s22}_{s5}| {s20}, {s22} {s5}
qstr_{s0}___{reg1}|{s0} - {reg1}
qstr__^not_drunk| ^^[Střízlivý]
qstr__^slightly_drinken| ^^[Mírně opilý]
qstr__^quite_drunk| ^^[Opilý]
qstr__^cant_say_few_words| ^^[Namol ožralý]
qstr_V_otryade_nachalas_e|V družině řádí {s0}. K uzdravení potřebují tvoji vojáci odpočinek v hospodě a dobré jídlo. Felčar by také rozhodně nebyl na škodu.
qstr_{s0}|{s0}
qstr_{s50}_i_{s0}|{s50} a {s0}
qstr_v_otryade_nachalas_e|V družině řádí {s0}. Pokud se vojáci mají uzdravit, musí si odpočinout v hospodě a dobře se najíst. Také by bylo vhodné je zavést k nějakému felčarovi.
qstr_v_otryade_nachalis_e|V družině řádí {s50}
qstr_{s2}_{reg3?was:is}_in|{s2} {reg3? {reg4?pobývala:pobýval}:pobývá} v divočině, {reg3?: teď} ale {reg4?:} {reg3? {reg4?byla:byl}:{reg4?musí být:musí být}} nedaleko místa, které se nazývá {s3}.
qstr_Player:_v_gorode_{s3|Hráč: v sídle {s30} bude brzy dokončena výstavba: {s31}.
qstr_{s0}_{s2}|{s0}, {s2}
qstr_V_gorode_{s30}_zaver|V sídle {s30} byla dokončena stavba: {s31}.
qstr_Glava|Hlava
qstr_tax:_{reg3}|výdaje: {reg3}
qstr__{s2}_stud:_{reg0}| {s2} stud: {reg0}
qstr_depozita|Vklad
qstr_kredita|Úvěr
qstr_Zdes_vi_mozhete_zaka|Tady si můžeš objednat různé zbraně.
qstr_Zdes_vi_mozhete_zakaz|Tady si můžeš objednat různou výstroj.
qstr_Vash_zakaz_esche_ne_|Tvá zakázka ještě není hotová.
qstr_Vi_esche_ne_zabrali_|Ještě tu máš předchozí objednávku!
qstr_Za_mir_nuzhno_budet_|Jsme ochotní uzavřít mír, když nám dáš {s5}.
qstr_Za_mir_nuzhno_budet_o|Jsem ochoten uzavřít mír, když mi dáš {s5} a {s2}
qstr_Uchitivaya_silu_vash|Když vezmeme v úvahu sílu vašich zbraní, jsme ochotní uzavřít mír.
qstr_Za_mir_vam_nuzhno_bu|Jsme ochotni uzavřít mír za malý příspěvek v hodnotě {reg1} tolarů.
qstr_^{s20}_{s21}|^{s20} {s21}
qstr_gorode|městě
qstr_zamke|pevnosti
qstr_sele|vesnici
qstr_V_{s22}_hodyat_sluhi|Ve {s22} se povídá: {s21}
qstr_V_etom_{s22}_nichego|Ve {s22} se nestalo nic zajímavého. 
qstr_{s3}_{reg1}_|{s3}({reg1})
qstr_{s4}_{s3}_{reg1}_|{s4}, {s3}({reg1})
qstr_Party_has_nothing_to|Tvá družina hladoví!
qstr_{s31}|{s31}
qstr__{s32}| {s32}
qstr__| 
qstr_Cannot_leave_now.|Teď nemůžeš odejít
qstr_You_must_stay_behind|Musíš stát až za startovní čárou! Bod se nepočítá.
qstr_You_run_away_from_th|Utekl jsi z bojiště.
qstr_You_came_into_the_wo|Jsi {reg3?potomkem:potomkem} urozené, ale zchudlé rodiny. Tvému otci se nedařilo, přišel úpadek a ze všech bývalých panství mu zůstal jen dům, kde jste bydleli. Navzdory všem těžkostem ti rodina poskytla dobré vzdělání a od dětství tě vychovávali k životu na šlechtickém dvoře.
qstr_You_were_born_the_{r|Jsi {reg3?dcerou:synem} kupce, který cestoval za obchodem z jednoho místa na druhé a hledal dobré příležitosti. Přestože byli tví rodiče bohatší než většina ostatních a vychovali tě, jak nejlépe uměli, nepodařilo se ti na cestách najít žádné kamarády. Celý tvůj život se vždycky točil jen kolem obchodu.
qstr_As_a_child_your_fami|Už v době tvého dětství měla tvá rodina co dělat, aby nějak vyžila ze mzdy, kterou tvůj táta dostával jako strážný u místního vládce. Nežilo se vám snadno a dobré vzdělání jste si nemohli dovolit. V podstatě máš za sebou školu života - umíš se o sebe postarat, se zbraní i bez ní.
qstr_{reg3?daughter:son}|{reg3?dcera:syn}
qstr_You_were_the_{reg3?d|Tvá rodina vždycky bydlela hned u lesa, a aby netřela bídu s nouzí, pomáhala si, jak se dalo: lovem, dřevorubectvím, výrobou šípů a když bylo nejhůř, občas jste i pytlačili. Nejhorší pro vás byla zima, protože mráz zabíjel zvířata i lidi, ale tobě se podařilo i tu nejkrutější zimu jste nějak přečkat, i když všem tvým bratříčkům a sestřičkám se to tehdy nepovedlo.
qstr_You_were_a_child_of_|Narodil ses ve stepi, v rodině kočovníků, kteří žili ve velikých táborech na vyprahlých pastvinách. Jako všichni kočovníci si i tvá rodina ze všeho nejvíc cenila koní, a tak tě jezdit na koni naučili ještě dřív, než chodit.
qstr_As_the_{reg3?daughte|{reg3?Narodila ses jako zlodějská dcerka:Narodil ses jako zlodějský synek}, a "formálního" vzdělání se ti moc nedostalo. Místo učení tě nechali většinu času hrát si na ulici nebo žebrat, pak tě naučili uřezávat měšce, potom otvírat zámky, a tak uteklo celé tvoje dětství. Umíš se o sebe skvěle postarat na nebezpečných ulicích a znáš spoustu nepěkných městských tajemství.
qstr_As_a_{reg3?girl:boy}|Jako o trochu starší dítě tě poslali na vychování ke dvoru jednoho z místních vládců, kde tě naučili především pokoře a dámy a pánové ti svěřovali různé úkoly. To ti však nebránilo sledovat jejich intriky, naslouchat klepům a básničkám o statečných činech a o nešťastné lásce a pomalu se dozvídat různé věci o širém okolním světě, kde se ani na okamžik nepřestává bojovat. Hodně tě naučily také kruté hry s jinými dětmi, kde jste bili jeden druhého klackem nebo dřevěnými meči.
qstr_As_a_{reg3?girl:boy}_|Jako o trochu starší dítě tě poslali do učení k řemeslníkovi. Po mnoha letech těžké práce a studia tě mistr prohlásil za {reg3?vyučenou:vyučeného}, vzal tě do služby a řádně tě platil až do té doby, dokud se ti nezachtělo jít svou cestou.
qstr_As_a_{reg3?girl:boy}_g|Jako o trochu starší dítě tě poslali do učení k bohatému kupci, který buď prodával nejrůznější zboží v krámě, nebo taky cestoval s kupeckým vozem. Brzy tě naučil, jak lacino nakupovat, draho prodávat a přitom nechat zákazníky, aby si mysleli, jaký neudělali dobrý obchod.
qstr_As_a_{reg3?girl:boy}_gr|Jako o trochu starší dítě tě jednoho dne vystrčili na ulici, že prý už se o sebe umíš postarat. Žebrat tě moc nebavilo, ale pak tě vzali do zlodějské tlupy, která v tomto krutém světě přežívala ze dne na den a vždycky si držela o krok náskok před zákonem i před těmi, kdo jí nepřáli nic dobrého.
qstr_As_a_{reg3?girl:boy}_gro|Jako o trochu starší dítě tě nechali prohánět po širé stepi na svém vlastním koni a učit se poznávat trávy a pustinu. Zpočátku toho sice k jídlu moc nebylo, ale časem se z tebe stal vynikající lovec a stopař. Svaly ti zesílily a vyrostl z tebe pravý kočovník.
qstr_{reg3?daughter:man}|{reg3?dcera:mužský}
qstr_Though_the_distincti|Ani sis pořádně {reg3?nevšimla, že už je z tebe dospělá ženská:nevšiml, že už je z tebe dospělý mužský}, a najednou se pro tebe změnil celý svět. Když tě dvorští rytíři vzali mezi sebe, začali tě učit zacházel se zbraní, dávat a dostávat silné rány. Vysvětlili ti, jaké povinnosti máš vůči vládci, a čím jsi povinován těm, kteří se jednoho dne mohou stát tvými poddanými. Kromě rytířských ideálů tu však byly i méně příjemné věci - staří vojáci toho hodně napovídali o krutostech politiky a moci, o zradě a uchvatitelství, a také o lidech, kteří dosáhli svých cílů jak díky statečnosti, tak i díky zbabělosti.
qstr_{reg3?woman:man}|{reg3?ženská:mužský}
qstr_Though_the_distinctio|Čas letěl jako voda, najednou jsi byla velká a změnil se pro tebe celý svět. Patřila jsi teď do úzkého kruhu dvorních dam, manželek a milenek šlechticů, a také mladých dívek, které si teprve hledaly muže. Dokonce i tady vládla politika a pletichy - dámy mezi sebou bojovaly o vliv a o přízeň všech vhodných ženichů, co jich u dvora bylo. Brzy ses naučila získat ze všeho nějako výhodu a došlo ti, že když se budeš hodně snažit, můžeš se časem v tomhle malém světě stát velmi významnou osobností.
qstr_Though_the_distinction|Čas letěl jako voda, najednou tě začali počítat mezi dospělé a změnil se pro tebe celý svět. Po celý tvůj dosavadní život ti skoro nic nepatřilo, když nepočítáš hudební nástroj ve futrálu na zádech a svůj vlastní hlas. Nejdřív se ti moc dobře nevedlo a lidem se tvá představení často nelíbila, takže občas nebylo ani na jídlo. Nějak se ti to ale podařilo přečkat, hlavně díky krásnému zpěvu, a časem ti v hospodách naslouchaly celé davy - a co bylo ještě lepší, lidé ti často ochotně prozradili potřebné informace.
qstr_Though_the_distinction_|Ani sis pořádně {reg3?nevšimla, že už je z tebe dospělá ženská:nevšiml, že už je z tebe dospělý mužský}, a najednou se pro tebe změnil celý svět. Přijali tě na universitu ve velkém městě, studovat teologii, filosofii a medicínu. Ne všechno tě ale naučili ve škole. Občas jste s kamarády vyrazili do ulic hledat víno, ženské a dobrou rvačku. Aspoň pak byla možnost nacvičit si léčení zlomených čelistí a přesvědčování vzteklých kupců, aby schovali obušek a nechali si radši zaplatit škodu za zničený krámek.
qstr_Though_the_distinction_f|Čas letěl jako voda, najednou tě začali počítat mezi dospělé a změnil se pro tebe celý svět. Život na cestách ti učaroval. Nejlepší bylo chodit ode vsi ke vsi a kupovat nebo prodávat, co se dalo. Nejdřív nebylo na obchodování moc peněz, ale časem se ti dařilo brát na hůl dokonce i lakomé staré lidi. Brzy by se ti bylo podařilo našetřit na vlastní malou obchodní říši...
qstr_Though_the_distinction_fe|Čas letěl jako voda, najednou tě začali počítat mezi dospělé a změnil se pro tebe celý svět. Zalíbilo se ti kovářské řemeslo - z obyčejného kovu se daly vyrábět nepředstavitelně krásné a užitečné věci. Postupně ses vypracoval na skutečného mistra a za výbornou práci tě slušně platili. Po dobré večeři bylo příjemné vysedávat u výhně a s hrdostí přemýšlet o své práci a stále lepší reputaci.
