qstr_Next_Page|Další stránka
qstr_Na_daniy_moment_net_|Žádná možnost není dostupná.
qstr_Ya_seychas_zaynuat_p|Odpusť, ale stále ještě na tvůj příkaz řeším tu záležitost ohledně {s1}. Budu mít čas za {reg1?dní:hodin}.
qstr_Viberite_zhelayumiy_|Co si přeješ?
qstr_Zdes_esche_net_{s1}.|{s1} tu ještě není.
qstr_Zdes_uzhe_est_{s1}.|{s1} už je tady
qstr_{reg0?Naynyat:Postro|{reg0?Najmout:Postavit}.
qstr_U_vas_zdes_uzhe_post|Už máš postaveny tyto budovy:^
qstr_Zdes_k_tebe_loyalni_|V tomto městě jsi {jmenoval/jmenovala} lidi do následujících funkcí:^
qstr_U_vas_nichego_esche_|V tomto směru jsme dosud ničeho nedosáhli.
qstr_It_s_your_money_or_y|Peníze, nebo život, {pane/paní}. Budeš se divit, jak dneska život přijde draho.
qstr_Lucky_for_you_you_ca|Buď zdráv, dobrý člověče. Moc rád tě vidím. ^Hezky sem dej všechno zlato a jdi si svou cestou živ a zdráv.
qstr_This_a_robbery_eh?_I|Hej, {pane/paní}, tohle je přepadení. Dej sem, co máš cenného, je-li ti život milý. Nechceš si přece vyzkoušet, jak ostré mají mí chlapi nože, že ne?
qstr_we_have_made_very_li|skoro vůbec jsme nepostoupili kupředu
qstr_we_have_suceeded_in_|dobyli jsme kousek země, ale čeká nás ještě dlouhá cesta
qstr_we_have_become_a_sig|máme slušnou sílu a teď i šanci na vítězství
qstr_we_are_winning_the_w|tuhle válku vyhrajeme, ale nepřítel se ještě drží
qstr_we_are_on_the_verge_|už jsme skoro vyhráli. Zbývající nepřátelé nepředstavují hrozbu, ale budeme je muset vyslídit
qstr_Yes_{s5}?|Ano, {s5}?
qstr__no_fiefs_|(Lokální síť)
qstr__fiefs:_{s0}_|(Državy: {s0})
qstr_{playername}_when_we|{playername}, na začátku měl jen málokdo tolik odvahy, aby mě podpořil, a ještě méně bylo těch, kteří za mě byli ochotni položit život. Ty jsi však nepochyboval ani na okamžik, když bylo potřeba se vypořádat s mými nepřáteli. Hodně jsme toho spolu prožili, a byly doby, kdy už mě naděje skoro opustila. Ale nakonec jsme s boží pomocí zvítězili. Teď tě musím opustit a ujmout se toho, co mi po právu náleží. {s3} je teď moje země, a když se ujmu vlády, přijmu tím velkou zodpovědnost. Čeká mě ještě nejedna zkouška, a předpokládám, že mě ani teď neopustíš. A samozřejmě budeš vždy prvním mezi mými poddanými.
qstr_I_am_{s4}_the_ruler_|Jsem {s4}, vládce země {s6}
qstr_I_am_{s4}_a_vassal_o|Jsem {s4}, šlechtic z panství {s6}
qstr_{s9}{reg5?_and_the_l|{s9}{reg5?. Patří mi {s8}.:.}
qstr_Your_mission_is_comp|Tvůj úkol je splněn. {s9} chce, ať následuješ jeho armádu, dokud nedostaneš další rozkazy.
qstr_{s13}_asked_you_to_g|{s13} tě prosí o přivedení {reg3} kusů skotu.
qstr_{s9}_asked_you_to_sc|{s9} tě prosí o provedení průzkumu kolem obcí {s13}, {s14} a {s15} a pak mu máš podat hlášení.
qstr_{s16}_and_{s17}|{s16} a {s17}
qstr_{s16}_{s17}|{s16}, {s17}
qstr_Very_well_I_will_acc|Dobře, přijmu tě znovu do svých služeb, když mi složíš přísahu věrnosti.
qstr_A_pardon_will_only_b|Odpustím ti, pouze pokud mi předáš {s17}. Přijímáš mé podmínky?
qstr_No._There_is_no_chan|Ne. O míru nemůže být ani řeči, nemám zájem.
qstr_We_are_not_at_war_wi|Nejsme s nikým ve válečném stavu.
qstr_We_are_at_war_with_{|Vedeme válku, naším nepřítelem je {s12}.
qstr_{s9}_asked_you_to_ta|{s9} tě žádá, abys dovezl zprávu adresátovi jménem {s13}. Když jsi tento úkol {dostal/dostala}, nacházel se {s13} v místě zvaném {s4}.
qstr_{s9}_asked_you_to_tak|{s9} tě žádá, abys dovezl zprávu adresátovi jménem {s13} z obce {s15} . Když jsi tento úkol dosta, nacházel se {s13} právě v místě zvaném {s4}.
qstr_{s11}_asked_you_to_e|{s11} tě prosí o laskavost. Jeho {s17} {s13} potřebuje doprovodit do místa zvaného {s14}.
qstr_{s13}_asked_you_to_d|{s13} tě požádal, ať se vypořádáš se zbojníky, kteří se schovávají ve vesnici zvané {s15}. Máš mu to pak zajít ohlásit.
qstr_{s9}_asked_you_to_ra|{s9} tě žádá, ať naverbuješ jednotku {s14} v počtu {reg1} osob a přivedeš mu ji.
qstr_{s9}_asked_you_to_co|{s9} tě požádal, ať zajedeš do vesnice {s3} a vybereš tam daně. Pětinu vybrané částky si můžeš nechat.
qstr_{s9}_asked_you_to_hu|{s9} tě požádal, ať vypátráš uprchlíka jménem {s4}. Naposledy ho viděli v obci {s3}.
qstr_{s9}_asked_you_to_as|{s9} tě poprosil, ať zabiješ místního kupce ve městě {s3}.
qstr_{s9}_has_asked_you_t|{s9} tě poprosil, ať zajdeš na setkání se špehem ve městě {s13}.
qstr_{s9}_asked_you_to_ca|{s9} tě poprosil, ať zajmeš a oloupíš {reg13}. {s13} mu pak snad vyhlásí válku, což je účelem.
qstr_{s9}_asked_you_to_cat|{s9} tě poprosil, ať najdeš tři skupiny jeho uprchlých nevolníků a přivedeš je živé a zdravé do vesnice zvané {s4}. Říkal, že všichni prchali přibližně směrem, kde leží {s3}.
qstr_{s11}_asked_you_to_f|{s11} tě pověřil sledováním špeha, který se vydal na cestu z obce {s12}. Špeh by si tě neměl všimnout, jinak by mohl začít něco tušit a vrátil by se. Až se vyzvědač sejde s tím, kdo ho najal, máš je oba přepadnout a přivést, {s11} už na ně čeká.
qstr_{s11}_asked_you_to_c|{s11} tě žádá, ať zajedeš do {s13}, zajmeš tam nějakého šlechtice a přivezeš ho. {s11} ho potom vyslechne.
qstr_{s9}_asked_you_to_le|{s9} tě požádal, abys u něj nechal svého společníka jménem {s3}, a to na týden.
qstr_{s9}_asked_you_to_col|{s9} tě požádal, ať vyzvedneš dlužnou částku {reg4} tolarů od dlužníka jménem {s3}.
qstr_{s11}_gave_you_a_fak|{s11} ti dal falešný dopis. Dostane ho do rukou {s13}, a až si ho přečte, měl by vyhnat ode dvora svého vazala {s16}. Musíš proto zajet do blízkosti města {s14}, kde tvůj {s15} vezme dopis a odnese ho do města. Posel si bude myslet, že dopis, který nese, je pravý.
qstr_{s9}_has_requested_y|{s9} požaduje, abys mu {přivedl/přivedla} jako zajatce jednotku {s3} v počtu {reg1}.
qstr_Lend_your_experience|Tvůj zkušený chirurg {s3} má zajít za pacientem jménem {s1}.
qstr_Then_take_it_with_my|Přijmi ode mě nevelký dar a mou upřímnou vděčnost. Jsi {šlechetný člověk/šlechetná žena}. Nikdy na tvou pomoc v těžkých časech nezapomenu.
qstr_Forgive_me_{playerna|Promiň mi mou umíněnost, {playername}, ale můj dar prostě musíš přijmout. Na, ber, a už o tom nebudeme mluvit.
qstr_{playername}_what_a_|Odmítnout ti nedovolím, {playername}. Mám vůči tobě velký dluh. Věřím, že pro ty peníze najdeš lepší využití než já.
qstr_{s11}_asked_you_to_r|{s11} tě požádala o pomoc. Její {s17}, {s13} z obce {s14}, se dostal do žaláře. Jestli ho chceš zachránit, budeš si s ním muset vyměnit šaty a zůstat tam místo něho.
qstr_{s11}_asked_you_to_d|{s11} tě požádal, ať doručíš dopis adresátovi jménem {s13}, který sedí v šatlavě ve městě {s14}.
qstr_You_agreed_to_challe|Slíbil jsi, že vyzveš na souboj {s13}, abys obhájil čest paní jménem {s11}.
qstr_{s5}__Persuasion_str|{s5} (Částka, snížená díky schopnosti přesvědčování o {reg5} tolarů)
qstr_Persuasion_Attempt|Pokus přesvědčit posluchače
qstr_A_villager_from_{s7}|Člověk z vesnice {s7} tě prosí, ať z vesnice vyženeš zbojníky, kteří se tam usadili.
qstr_You_chose_well_{sir/|To bylo moudré rozhodnutí, {pane/paní}. My umíme držet slovo a své peníze si poctivě odpracujeme.
qstr_Well_done_{sir/madam|K službám, {pane/paní}. Když nás budeš dobře platit a pohostíš nás medovinou, nezalekneme se žádného nepřítele!
qstr_We_are_at_your_servi|K službám, {pane/paní}. Ukaž, s kým se máme vypořádat, a jako by se už stalo!
qstr_You_will_not_be_diss|Nezradíme tě, {pane/paní}. Lepší vojáky nenajdeš na sto verst daleko.
qstr_The_Guildmaster_of_{|Starosta města {s13} tě požádal, ať ho nějak zbavíš zbojníků, kteří se usadili v okolí.
qstr_{s9}_of_{s3}_asked_y|{s9} z obce {s3} tě prosí, ať do taverny ve městě {s4} odvezeš jeho {s6} v množství {reg5} kusů, a to do 7 dní.
qstr_Escort_the_merchant_|Doprovodit kupeckou karavanu do cíle, kterým je {s8}.
qstr_Merchant_{s9}_of_{s4|{s9}, jehož domovem je {s4}, tě požádal, ať vypátráš nebezpečné zbojníky v okolí města.
qstr_Guildmaster_of_{s4}_|Starosta města {s4} ti dal {reg12} tolarů na zaplacení výkupného za dívku, kterou unesli zbojníci. Máš se s nimi setkat v okolí obce {s3} a předat jim peníze. Pak máš děvče odvézt zpátky do města {s4}.
qstr_Guildmaster_of_{s4}_p|Starosta města {s4} ti slíbil {reg12} tolarů, když zařídíš, aby {s12} a {s13} nestáli v cestě mírovým rozhovorům mezi {s15} a {s14}. Máš je buď zkusit přemluvit, nebo je zajmout a držet je v zajetí až do té doby, dokud nebude uzavřen mír.
qstr_The_Guildmaster_of_{s|Starosta města {s14} tě požádal o vyřešení problému s loupežnickou bandou, která terorizuje městské ulice. Bandité se objevují jen v noci a napadají pouze osamělé chodce.
qstr_Guildmaster_of_{s10}|Starosta města {s10} tě pověřil zajištěním přepravy dobytka do města {s13}. Dostaneš za to {reg8} tolarů.
qstr_He_is_not_commanding|Teď nemá pod svým velením žádné lidi.
qstr_He_currently_command|Velí teď {reg0} lidem {reg1?, z toho {reg1} je raněných:}.
qstr_The_elder_of_the_vil|Starosta z vesnice {s3} tě požádal, ať jim přivezeš alespoň {reg5} pytlů obilí.
qstr_The_elder_of_the_vill|Starosta z vesnice {s13} tě požádal, ať naučíš alespoň {reg5} rolníků, jak mají bojovat se zbojníky.
qstr_The_elder_of_the_villa|Starosta z vesnice {s3} tě požádal, ať jim přiženeš alespoň {reg5} kusů dobytka.
qstr_As_{s9}_said_it_woun|{s9} ti poradil, že máš zajet do obce {s10}. Tamní starosta prý hledá statečné lidi, pro které má různé úkoly. 
qstr_OiM_The_elder_{s9}_a|Vesnici Zámostí trápí zbojníci. Starosta ti nařídil zničit tyto zbojníky, kteří se usídlili v sousedním lese.
qstr_OiM_The_elder_{s9}_as|{s9} tě žádá, aby ses {postaral/postarala} o to, aby {s10} snížil vesnici daně.
qstr_OiM_The_elder_{s9}_ask|{s9} tě poprosil, ať mu přivezeš 3 pytle tohoto zboží: {s10}.
qstr_OiM_The__De_la_Gardi|Nová stopa vede do místa zvaného {s10}. Možná ho tam někdo viděl. 
qstr_OiM_getman_No_skazal|Úkol jsi sice {nesplnil/nesplnila}, ale starosta ti prozradil, že je Gerasim Evangelista v obci {s4}.
qstr_OiM_The__{s9}_asked_|{s9} tě požádal, ať zavezeš {s10} na Síč.
qstr_OiM_nu_vot_so_shmato|No co... S hroudou sádla v hubě ti přestane být do řeči.
qstr_OiM_Kozaki_zametii_4|Kozáci si tvé zrady všimli...
qstr_OiM_The_{s9}_asked_y|{s9} tě žádá, abys ho {doprovodil/doprovodila} do sídla {s10}.
qstr_OiM_Kozaki_zametili_|Kozáci zjistili, žes je zaprodal
qstr_OiM_teper_mozhno_dal|A teď můžeme vyrazit na další cestu.
qstr_OiM_Ischi_teper_yego|Když k polnímu veliteli, tak k polnímu veliteli...
qstr_OiM_The_{s9}_need_to|{s9} tě žádá, abys {přivedl/přivedla} alespoň {reg0} vojáků do sídla {s10}.
qstr_OiM_Ne_uspeli_s_cona|Ještě jsi ani nesesedl z koně, a už do vesnice dorazili kozáci...
qstr_OiM_Jaz_budet_jarko|Bez boje to nepůjde. Aspoň se podíváš, jací jsou kozáci válečníci...
qstr_OiM_{s9}_asked_you_v|{s9} tě žádá, abys zajel do Moskvy a přivezl donským kozákům nějaké zboží. 
qstr_OiM_Potop_nuzhno_per|{Dostal/Dostala} jsi zboží. Teď už ho zbývá jen určenému příjemci, což je {s6}.
qstr_OiM_{s9}_asked_you_t|{s9} ti nařídil získat vůz se zbraněmi, který podle jeho informací vyjel z města {s10} do města {s11}. 
qstr_OiM_{s9}_asked_you_to|{s9} tě požádal, ať ke králi přivedeš rytíře de Clermont.
qstr_OiM_{s9}_asked_you_to_|{s9} s tebou pojede, pokud si jako doprovod přivedeš alespoň deset vojáků... 
qstr_OiM_{s9}_asked_you_to_b|{s9} tě žádá o vyplenění obce {s10}.
qstr_OiM_{s9}_skazal_chto|{s9} slíbil, že se za tebe u hejtmana přimluví.
qstr_OiM_{s9}_asked_to_br|{s9} tě požádal, abys {přivezl/přivezla} koně osobě jménem {s10}.
qstr_As_{s9}_said_to_get_|{s9} tě požádal o vyzvednutí peněz z vesnice {s10}, pak je máš odnést Chmelnickému.
qstr_As_{s9}_give_you_a_r|{s9} ti dává doporučení, na které čeká {s10}.
qstr_OiM_{s9}_asked_to_lo|{s9} má pro tebe úkol: máš vyplenit tři vesnice Rzeczpospolity. 
qstr_OIM_add_{s9}_asked_y|{s9} ti poradil, ať zkusíš vyhledat pana Zaglobu. Ten starý Polák určitě sedí opilý v nějaké hospodě.
qstr_OIM_add_{s9}_asked_yo|{s9} tě žádá o doručení dopisu, adresátem je {s10}.
qstr_OIM_add_{s9}_deliver|{s9} ti přikazuje, ať mu přivedeš zajatého švédského vojáka
qstr_OIM_add_You_were_ask|Polská svatyně je v nebezpečí! Král Jan Kazimír přikázal zabít {s10} švédských zbojníků, kteří ten slavný klášter obléhají.
qstr_OIM_add_Wam_nuzhno_o|Polské hlavní město padlo do švédských rukou. Musíš získat {s10} zpět bez ohledu na ztráty - závisí na tom nejen tvůj další osud, ale i budoucnost Rzeczpospolity.
qstr_OIM_add_{s9}_asked_you|{s9} tě žádá, abys zkusil zajmout švédského důstojníka.
qstr_OIM_add_{s9}_asked_you_|{s9} ti dal nelehký úkol. Máš zajistit mír mezi Rzeczpospolitou a krymským chanátem. Z toho důvodu musíš opustit služby Jana Kazimíra a postarat se, aby trůn získal {s10}. Výměnou za to po něm požaduj, aby hned, jak se ujme vlády, uzavřel mír s Rzeczpospolitou. Korunovat pretendenta není nic snadného. Musíš na svou stranu získat všechny tatarské murzy a zajmout všechny, kdo nebudou souhlasit. Navíc budeš muset obsadit všechna města a pevnosti krymského chanátu.
qstr_OIM_add_{s9}_asked_you_t|{s9} říká, že požadované spojenectví uzavře, pokud dobudeš dvě města Moskevského carství.
qstr_OiM_Potop_Pora_pogov|Splnil jsi úkol, kterým tě král pověřil. Je načase vydat se ke němu.
qstr_OIM_add_As_{s9}_said|{s9} slíbil, že ti vrátí titul a znovu tě přijme do svých služeb, pokud tě podpoří šlechta. Měl by sis promluvit s panem Zaglobou a pokusit se získat na svou stranu alespoň polovinu šlechty. Nebylo by dobré, aby někdo na sejmu začal vykřikovat své námitky.
qstr_OiM_Potop_{s3}_prosi|{s3} požaduje zajatce, konkrétně to má být {s4}.
qstr_OiM_Potop_Shveda_slo|Co se týče toho švédského zajatce...
qstr_OiM_Potop_Borzobagat|Podařilo se ti zjistit, že Anička Brzobohatá je na místě zvaném {s5}.
qstr_{s4}_{s2}|{s4}, {s2}
qstr_{s5}_{s2}|{s5}, {s2}
qstr_OIM_add_Nu_polkiy_se|Sejm se sešel. Zbývá jen počkat na výsledky.
qstr_OIM_add_Nu_vot_teper|Teď po tobě {s7} chce, ať dobudeš a obsadíš tato města a hrady: {s3}, {s4}, {s5}, {s6}.
qstr_OIM_add__{s2}_hochet|Král si přeje, ať vezmeš do zajetí osobu jménem {s3}.
qstr_OIM_add__Teper_pora_|Je na čase vzbouřit se proti králi a konečně dosadit na trůn někoho důstojnějšího...
qstr_OIM_add__Teper_kogda|Jan Kazimír pozval do země žoldáky. Je třeba je porazit dřív, než vyplení byť i jen jedno město Rzeczpospolity.
qstr_{s4}.|{s4}.
qstr_OiMP2_str_qst_potop_|Těžké časy nastaly pro Rzeczpospolitu... Ze všech stran ji obklopují nepřátelé - Švédové, moskevští, kozáci... Polsko potřebuje hrdinu, který se postaví do cesty švédské záplavě, přinutí svévolnou šlechtu, aby se nad sebou zamyslela, sjednotila se a udeřila na nepřátele...
qstr_OIM_add_getman__{s4}|{s4} si přeje, ať ochráníš {s3} před napadením.
qstr_OIM_add_getman__star|Běda, stařík ti nestačil povědět všechno... Možná by o tom Černém hejtmanov“ mohl něco vědět někdo jiný...
qstr_OiM_add_Nu_teper_por|Podařilo se ti najít stopu. Je možné, že de Clermont o Černém hejtmanovi něco ví.
qstr_OIM_add_getman__{s5}|Rytíř de Clermont ti řekl, že o Černém hejtmanovi možná bude něco vědět {s5}.
qstr_OIM_add__chtobi_uzna|Podařilo se ti zjistit, že {s3} možná tajemství Černého hejtmana zná. Musíš tedy vyvolat povstání - {s4} pak o trůn přijde a dosedne na něj {s3}.
qstr_OIM_add__{s3}_prosil_|{s3} tě požádal, ať promluvíš s kyjevským starostou.
qstr_OIM_add_Kiev_{s3}_pr|Je potřeba dobýt Kyjev, ať se zde {s3} může ujmout vlády.
qstr_OIM_add__Net_zolota_|Je možné, že o tom kyjevský starosta něco ví. Jenže zadarmo ani kuře nehrabe.
qstr_OIM_add__Nu_chto_zhe|Kozák měl pravdu, Radziville je zapletený do tajemství Černého hejtmana. Je na čase položit mu pár otázek.
qstr_OIM_add__{s3}_hochet|{s3} ti neodpověděl ani na jednu otázku. Místo toho tě žádá, abys mu přivedl zajatého tatarského šlechtice.
qstr_OIM_add__pora_iskat_|U Tatara se našel dopis, v němž je uvedeno, že v templářských archivech jsou nějaké údaje o Černém hejtmanovi. Nebude na škodu si je trochu prostudovat. Místem, kde se nacházejí, je {s20}.
qstr_OIM_add_Kyazya_Olgov|Studium archivu zabralo spoustu času, ale podařilo se ti zjistit, že s Černým hejtmanem měl něco společného také knížecí rod jakýchsi Olegovců.
qstr_OIM_add__nuzhno_vitr|Chlap je skoupý na slovo. Budeš ho muset nějak přimět k hovoru.
qstr_OIM_add_getman__Pora|Ještě jeden příběh a další tajemství: Boronova kniha!
qstr_OiM_getman_Knigu_moz|Tuhle knížku si {sám/sama} nepřečteš. Budeš muset najít učence - velebného pána Pafnutije.
qstr_OiM_getman_Nuzhno_pe|Pafnutij souhlasí, že knížku přeloží, ale bude k tomu potřebovat archivy v obci {s3}.
qstr_OiM_getman_Kniga_na_|Pafnutij dorazil do archivu. Teď stačí počkat, až ti knížku přeloží.
qstr_OIM_add_getman__Koza|Povídá se, že kozák Mamaj zná spoustu legend. Budeš ho muset požádat o pomoc...
qstr_OIM_add_getman__Bara|Ukázalo se, že hejtman Barabáš je naživu. Mohl by být užitečný.
qstr_OIM_add_getman__Nu_c|Máš plán: proniknout k Radzivillovi v převleku za nájemného žoldáka a zkusit ho zabít...
qstr_{s1}_s_tomb|Zde odpočívá v pokoji {s1}
qstr_OIM_add_getman__Chto|{Podpořil/Podpořila} jsi Barabáše a teď musíš na svou stranu přetáhnout nejméně polovinu kozáckých plukovníků, abys {získal/získala} dostatečný vliv a {mohl/mohla} vrátit Barabášovi hejtmanský palcát.
qstr_OIM_add_getman__tepe|Když ses teď přidal ke kozákům, pokusí se Mamaj přesvědčit Chmelnického, aby z tebe udělal maršála. Ty můžeš jen čekat, jak to dopadne...
qstr_OIM_add_getman__{s5}_|{s5} ti řekl, že kupec s vozem vyrazil z obce {s3} a jeho cílem je {s4}. Možná má Chmelnický pravdu. 
qstr_OIM_add_getman_Bilo_|Místo diplomatické chytristiky posíláš přímo posla se zprávou...
qstr_Velikoye_Knyazestvo_|Velkoknížectví Ruské
qstr_OIM_add_getman_Koron|Nejdřív Černý hejtman, teď zase Witoldova koruna - každý den nové záhady.
qstr_Mamay|Mamaj
qstr_Nu_chto_zhe_budem_tr|Koruna je zřejmě na místě zvaném {s3}. Bude potřeba probít se do klášterních cel a korunu sebrat.
qstr_OIM_add_getman_od_mo|Od moře k moři, taková je vůle velkoknížete...
qstr_OIM_add_getman__Nu_ch|Cesta k trůnu je plná překážek a protivenství a opovážlivec, který by se pokusil svrhnout tatíčka cara a zaujmout jeho místo, musí být velmi odvážný a mazaný jako liška. Nemusí však svádět strašlivé krvelačné války a prolévat krev nevinných lidí.
qstr_OiM_dmitriy_Teper_kog|Tak, a teď se {s4} urazil, protože jsem mu odmítl pomoct. A pochybuju, že se mu bude chtít mluvit o tom, jak to vlastně v období smuty všechno bylo. 
qstr_OIM_add_getman__Nuzhn|Je potřeba najít Gerasima Evangelistu, ten už bude vědět, jak se věci mají a co je falešný Dmitrij zač. Místem Gerasimova pobytu je {s3}.
qstr_OiM_The_elder_{s9}_s|{s9} tvrdí, že kněz je v sídle {s10}. Lidé ti možná řeknou víc - třeba ho někdo viděl.
qstr_OiM_getman_Yavangeli|Inu, teď je jasné, že Gerasim Evangelista je v obci {s4}.
qstr_OIM_add_getman__Nuzhno|Gerasim ti před smrtí řekl, že si ty a {s3} musíte promluvit.
qstr_OiM_The_{s9}_prosil_|{s9} tě požádal, ať vyzvedneš Eleonoru z města {s10} a odvezeš ji tam, kde na ni čeká {s11}.
qstr_OiM_The_{s9}_prosilf|{s9} tě poprosila, ať ji odvezeš k otci, což je {s11}.
qstr_OiM_The_{s9}_prosilf_|{s9} tě požádal o doručení dopisu, adresátem je {s11}.
qstr_OiM_The_{s9}_prosil_v|{s9} tě požádal o doručení dopisu, adresátem je {s11}.
qstr_OiM_The_{s11}_dobriy|{s11} je podezřívavý člověk. Ani tě nenechal domluvit, hned tě poslal k výslechu.
qstr_OiM_The_Nu_chto_zhe_|Teď, když postrádáš silného lenního pána, nemáš na vybranou. Budeš muset jít k {s11}.
qstr_OiM_Alevtina_v_Kafe_|Alevtina je v zajetí v Kafě.
qstr_OiM_pohozhe_alevtinu|Ten tatarský šlechtic se Alevtiny jen tak nevzdá. Budeš mu ji muset sebrat násilím...
qstr_OiM_getman_Pohozhe_b|Zdá se, že si Razin s tím novým carem nedělal legraci... Ať se tedy stane, co se má stát.
qstr_OiM_Teper_kogda_ya_p|Teď, když se ucházíš o královský trůn, budeš muset bojary přesvědčit, že jsi skutečně právoplatným následníkem vládce.
qstr_{s5}.|{s5}.
qstr_{s3}|{s3}
qstr_{s2}_{s3}|{s2}, {s3}
qstr_I_can_smell_a_fat_pu|Plný měšec cítím na hony daleko. Budeme ti muset trochu odlehčit, nezlob se.
qstr_Why_it_be_another_tr|A to se podívejme! Na téhle cestě člověk většinou nepotká živou duši, a najednou... Zdejší okolí je nebezpečné, zejména pro takové slavné {pány/dámy}, jako jsi ty. Ale jestli mně a mým chlapům dobře zaplatíš za průchod, dostaneš se tam, kam máš namířeno, se zdravou kůží!
qstr_Well_well_look_at_th|Buď zdráv, dobrý pane! Vidím, že máš tuze těžký měšec. Dej nám trochu poctivého stříbra a půjdeme v klidu každý po svém!
qstr_There_s_a_toll_for_p|Na téhle cestě se za průjezd platí mýtné. Naval stříbro, nebo si ho vezmeme sami.
qstr_Another_fool_come_to|Chce ještě někdo umřít mou rukou? Dobře, tak pojď!
qstr_We_re_not_afraid_of_|Z tebe tak máme strach! Hned ti srazíme tu tvou hloupou hlavu!
qstr_That_was_a_mistake._|Vida, vida. Teď tě budu muset dlouze a bolestivě zabít...
qstr_Brave_words._Let_s_s|Jen do toho. Uvidíme, jestli se zmůžeš na něco víc, než jen na slova.
qstr_A_{s5}?_Well..._Yes_|{s5}? No ano, samozřejmě. Divná otázka.
qstr_Eh?_No_it_most_certa|Cože? Kdepak, to vůbec není {s5}. Ty moc dobře nevidíš, co?
qstr_This_is_the_{reg4?to|Naše {reg4?město:vesnice} se jmenuje {s5}, {pane/paní}.
qstr_{s6}_Our_{reg4?town:|{s6} {reg4?Tohle město:Tahle vesnice} a přilehlé polnosti samozřejmě patří tobě, {pane/paní}.
qstr_{s6}_Our_{reg4?town:v|{s6} {reg4?Tohle město:Tuhle vesnici} a přilehlé polnosti vlastní {s7} ({s8}).
qstr_{s3}_and_{s5}|{s3} a {s5}
qstr_{s3}_{s5}|{s3}, {s5}
qstr_{reg20?We_mostly_pro|{reg20?Většinou se tu vyrábí zboží, jako například {s5}:Teď tu skoro nic nevyrábíme}. Náš {reg4?starosta:vesnický stařešina} by ti to určitě řekl líp. Tamhle, to je on.
qstr__U_Vas_maximalnovozm|Větší počet lidí do boje vést nemůžeš.
qstr__U_Vas_ne_hvataet_de|Nemáš dost peněz na najmutí žoldáků!
qstr___Skolko_naemnikov_n|Kolik žoldnéřů potřebuješ?
qstr__U_vas_netu_etogo_ti|Potřebuji někomu obstarat lepší zbraně a výzbroj.
qstr__Viberite_razdel|Vyber druh zboží.
